unit,var,0,-10,-20,-31,-50,-100,-250,-500,-1000,-2500,-5000,-10000,-16000
31,wc,0.573,0.564,0.556,0.548,0.537,0.518,0.488,0.464,0.441,0.411,0.389,0.369,0.35584
31,z1,0,7.2,12,15.7,19.9,25.6,31.1,33.8,35.6,36.9,37.5,37.9,38.1
31,z2,0,5.7,8.9,11.1,13.5,16.5,19.3,20.7,21.6,22.3,22.6,22.7,22.8
32,k,2.5,1.92,1.65,1.43,1.14E+00,6.67E-01,1.77E-01,3.44E-02,4.28E-03,1.95E-04,1.72E-05,1.49E-06,2.81E-07
32,wc,0.394,0.393,0.392,0.39,0.386,0.372,0.322,0.255,0.185,0.113,0.078,0.055,0.04333
32,z1,0,9.6,19,29.3,47,91.7,206.2,313.5,369.8,385.8,387.4,387.6,387.7
32,z2,0,9.1,18.1,27.9,44.3,84.8,178.1,248.1,278.4,286.5,287.3,287.4,287.5
33,k,2.79,0.77,0.51,0.36,2.20E-01,8.70E-02,1.62E-02,3.48E-03,6.54E-04,6.55E-05,1.12E-05,1.89E-06,5.64E-07
33,wc,0.41,0.407,0.402,0.397,0.388,0.364,0.316,0.271,0.229,0.18,0.15,0.125,0.11007
33,z1,0,9.1,17.7,26.6,40.6,69.2,109.1,126.7,134.3,137.6,138.3,138.5,138.6
33,z2,0,8.4,16,23.4,34.5,54.6,78.2,87.4,91.2,92.8,93.2,93.3,93.3
34,k,1.46,0.49,0.32,0.22,1.33E-01,4.94E-02,8.58E-03,1.82E-03,3.49E-04,3.70E-05,6.66E-06,1.19E-06,3.71E-07
34,wc,0.889,0.88,0.865,0.848,0.817,0.743,0.601,0.486,0.385,0.278,0.216,0.168,0.14196
34,z1,0,8.7,16.7,24.6,36.6,58.7,84,93.6,97.7,99.4,99.8,100,100
34,z2,0,7.7,14.3,20.6,29.3,43.6,57.7,62.6,64.7,65.5,65.7,65.8,65.8
35,k,3.4,0.69,0.42,0.28,1.60E-01,5.87E-02,1.13E-02,2.76E-03,6.32E-04,8.62E-05,1.89E-05,4.10E-06,1.46E-06
35,wc,0.849,0.837,0.822,0.805,0.777,0.715,0.604,0.516,0.434,0.343,0.286,0.239,0.21145
35,z1,0,9.1,17.5,26,38.8,62.9,92.8,106,112.6,116.1,117.1,117.6,117.7
35,z2,0,8.4,15.6,22.5,32.2,48.3,65.2,72,75.3,77,77.5,77.8,77.8
36,k,35.95,8.65,5.22,3.41,1.90E+00,6.48E-01,1.08E-01,2.33E-02,4.71E-03,5.44E-04,1.05E-04,2.01E-05,6.58E-06
36,wc,0.58,0.572,0.56,0.546,0.523,0.474,0.388,0.322,0.263,0.201,0.164,0.133,0.11636
36,z1,0,9.9,19.8,30.5,48.8,94.3,198.3,279.1,326.5,350.7,356.7,359.1,359.8
36,z2,0,9.8,19.5,30,47.6,89.5,170.5,219.7,244.7,257,260,261.2,261.5
